name,uni,coll,header,image,p,d,a,n,pic
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n140645,Soil and Water Systems,http://vivo.nkn.uidaho.edu/individual/n29349,"Chen, Lide",/file/n165021/thumbnail_1200x1200-lide-chen.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n23012,Animal & Veterinary Science,http://vivo.nkn.uidaho.edu/individual/n119225,"Chibisa, Gwinyai ",/file/n100209/thumbnail_Gwinyai-Chibisa.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n62022,Agricultural and Extension Education,http://vivo.nkn.uidaho.edu/individual/n121808,"Connors, James J",/file/n120074/thumbnail_1200x1200-jim-connors.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n62022,Agricultural and Extension Education,http://vivo.nkn.uidaho.edu/individual/n28188,"Connors, James J",/file/n133673/thumbnail_1200x1200-jim-connors.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n436182,"Entomology, Plant Pathology and Nematology",http://vivo.nkn.uidaho.edu/individual/a3448863353855,"Cook, Stephen P",/file/n137731/thumbnail_1200x1200-stephen-cook.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n23012,Animal & Veterinary Science,http://vivo.nkn.uidaho.edu/individual/pid47633,"Dalton, Joseph C",/file/n35733/thumbnail_avs-j-dalton.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n436182,"Entomology, Plant Pathology and Nematology",http://vivo.nkn.uidaho.edu/individual/n163619,"Dandurand, Louise-Marie C",/file/n94837/thumbnail_1200x1200-louise-marie-dandurand.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n55529,Family & Consumer Science,http://vivo.nkn.uidaho.edu/individual/n256531,"Deringer, Nancy ",/file/n167773/thumbnail_nancy-deringer.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n23012,Animal & Veterinary Science,http://vivo.nkn.uidaho.edu/individual/pid56007,"Doumit, Matt E",/file/n109748/thumbnail_matt-doumit.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n23012,Animal & Veterinary Science,http://vivo.nkn.uidaho.edu/individual/n89183,"Doumit, Stacey ",/file/n482307/thumbnail_1200x1200-stacey-doumit.jpg
